No,Name_TH,Name_EN,Country,Time,URL,,Ai นับเวลา,Ai คำนวณวันข้าม,หน่วงเวลาวัน
1,ธ.ก.ส.,baac,thailand,11:00,https://www.baac.or.th/salak/content-lotto.php,,⏳ อีก 08:29:06,,
2,ออมสิน,gsb,thailand,14:00,https://www.gsb.or.th/personal/gsb-lottery-result/,,⏳ อีก 11:29:06,,
3,รัฐบาลไทย,goverment,thailand,16:00,https://news.sanook.com/lotto/,,⏳ อีก 13:29:06,,
4,มาเลย์,magnum4d,malaysia,18:30,https://www.magnum4d.my/,,⏳ อีก 15:59:06,,
5,ลาวพัฒนา,laosdevelops,laos,20:30,https://mthai.com/lotto/หวยลาว,,⏳ อีก 17:59:06,,
6,ดาวโจนส์,dji,united-states,3:20,https://www.google.com/finance/quote/.DJI:INDEXDJX,,⏳ อีก 00:49:06,,
7,นิคเคอิเช้า,nikkei-morning,japan,9:30,https://indexes.nikkei.co.jp/en/nkave,,⏳ อีก 06:59:06,,
8,จีนเช้า,szse-morning,china,10:30,http://www.szse.cn/English/index.html,,⏳ อีก 07:59:06,,
9,ฮั่งเส็งเช้า,hsi-morning,hong-kong,11:00,https://www.hsi.com.hk/eng,,⏳ อีก 08:29:06,,
10,ไต้หวัน,twse,taiwan,12:35,https://www.google.com/finance/quote/IX0001:TPE,,⏳ อีก 10:04:06,,
11,นิคเคอิบ่าย,nikkei-afternoon,japan,13:00,https://indexes.nikkei.co.jp/en/nkave,,⏳ อีก 10:29:06,,
12,เกาหลี,ktop30,south-korea,13:35,https://th.tradingview.com/symbols/KRX-KTOP30/,,⏳ อีก 11:04:06,,
13,จีนบ่าย,szse-afternoon,china,14:00,http://www.szse.cn/English/index.html,,⏳ อีก 11:29:06,,
14,ฮั่งเส็งบ่าย,hsi-afternoon,hong-kong,15:00,https://www.hsi.com.hk/eng,,⏳ อีก 12:29:06,,
15,สิงคโปร์,sgx,singapore,16:30,https://www.sgx.com/,,⏳ อีก 13:59:06,,
16,ไทยเย็น,set,thailand,16:40,https://www.set.or.th/th/home,,⏳ อีก 14:09:06,,
17,อินเดีย,bsesn,india,17:30,https://th.tradingview.com/symbols/BSE-SENSEX,,⏳ อีก 14:59:06,,
18,อียิปต์,egx30,egypt,20:00,https://www.bloomberg.com/quote/EGX30:IND,,⏳ อีก 17:29:06,,
